order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,307,David Richardson,307,Travel Guide,Books,Internet Banking,12,3610.08,2021-03-18 10:41,UK,Birmingham,www.flipkart.com,31025,N,Card expired
2,194,Willie Burgess,640,Wallet,Accessories,Card,5,2396.03,2022-06-16 14:00,India,Mumbai,www.amazon.com,16927,Y,Details not found
3,358,Tami White,328,Pencil,Stationery,Card,2,3728.01,2023-01-20 22:56,India,Mumbai,www.flipkart.com,40231,Y,Details not found
4,718,Tara Fritz,648,Wallet,Accessories,Card,9,2126.55,2021-01-09 22:41,Australia,Melbourne,www.ebay.in,72731,N,Details not found
5,724,Danielle Jones,814,Trouser,Clothing,Internet Banking,9,469.9,2023-02-09 02:23,USA,Chicago,www.ebay.in,36087,N,Card expired
6,737,Michael Lee,800,Eraser,Stationery,Wallet,5,2188.9,2023-06-27 11:18,UK,Birmingham,www.ebay.in,34311,N,Card expired
7,722,Dustin Walker,453,Belt,Accessories,Internet Banking,10,2190.66,2022-11-07 19:24,UK,London,www.tatacliq.com,20364,N,Details not found
8,551,Jessica Tucker,239,Highlighter,Stationery,Wallet,10,234.53,2022-08-28 10:00,UK,Manchester,www.amazon.com,19937,N,Insufficient funds
9,899,Tanya May,572,Comics,Books,Card,19,4038.89,2021-02-13 05:28,UK,Birmingham,www.ebay.in,61816,N,Card expired
10,615,Aaron Pham,774,Camera,Electronics,Wallet,3,1253.43,2023-02-27 08:40,USA,Los Angeles,www.tatacliq.com,90146,Y,Details not found
11,914,Danny Montgomery,880,Bluetooth Speaker,Electronics,Internet Banking,6,991.6,2023-05-29 22:41,Australia,Brisbane,www.flipkart.com,52326,Y,Details not found
12,938,Regina Garcia,324,Skirt,Clothing,Wallet,3,683.43,2021-05-27 04:51,Australia,Brisbane,www.ebay.in,81709,N,Details not found
